date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1989-06-30,ข้าวนาปรัง,ประเทศ,,4.366,4366.0,พืชไร่,ข้าว
1989-06-30,ทุเรียน,ประเทศ,,30.63,30630.0,ไม้ผล,ทุเรียน
1989-06-30,เงาะ,ประเทศ,,6.96,6960.0,ไม้ผล,เงาะ
1989-07-31,ข้าวหอมมะลิ,ประเทศ,,5.4,5400.0,พืชไร่,ข้าว
1989-07-31,ข้าวเจ้าอื่น,ประเทศ,,5.184,5184.0,พืชไร่,ข้าว
1989-07-31,ข้าวเหนียว,ประเทศ,,3.98,3980.0,พืชไร่,ข้าว
1989-07-31,ข้าวนาปี,ประเทศ,,4.741,4741.0,พืชไร่,ข้าว
1989-07-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,3.44,3440.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-07-31,มันสำปะหลัง,ประเทศ,,0.52,520.0,พืชไร่,มันสำปะหลัง
1989-07-31,สับปะรดโรงงาน,ประเทศ,,1.7,1700.0,พืชไร่,สับปะรดโรงงาน
1989-07-31,มะพร้าว,ประเทศ,236.0,1.888,1888.0,พืชยืนต้น,มะพร้าว
1989-07-31,ยางพารา,ประเทศ,,18.15,18150.0,พืชยืนต้น,ยางพารา
1989-07-31,กระเทียม,ประเทศ,,6.9,6900.0,พืชผัก,กระเทียม
1989-07-31,หอมแดง,ประเทศ,,8.25,8250.0,พืชผัก,หอมแดง
1989-07-31,สุกร,ประเทศ,,28.47,28470.0,ปศุสัตว์,สุกร
1989-07-31,ไก่เนื้อ,ประเทศ,,21.47,21470.0,ปศุสัตว์,ไก่เนื้อ
1989-07-31,ไข่ไก่,ประเทศ,132.0,1.056,1056.0,ปศุสัตว์,ไข่ไก่
1989-07-31,ข้าวนาปรัง,ประเทศ,,4.551,4551.0,พืชไร่,ข้าว
1989-07-31,ทุเรียน,ประเทศ,,40.16,40160.0,ไม้ผล,ทุเรียน
1989-07-31,เงาะ,ประเทศ,,8.11,8109.999999999999,ไม้ผล,เงาะ
1989-07-31,ลองกอง,ประเทศ,,40.0,40000.0,ไม้ผล,ลองกอง
1989-08-31,ข้าวหอมมะลิ,ประเทศ,,5.268,5268.0,พืชไร่,ข้าว
1989-08-31,ข้าวเจ้าอื่น,ประเทศ,,5.049,5049.0,พืชไร่,ข้าว
1989-08-31,ข้าวเหนียว,ประเทศ,,3.915,3915.0,พืชไร่,ข้าว
1989-08-31,ข้าวนาปี,ประเทศ,,4.654,4654.0,พืชไร่,ข้าว
1989-08-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,3.0,3000.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-08-31,มันสำปะหลัง,ประเทศ,,0.53,530.0,พืชไร่,มันสำปะหลัง
1989-08-31,สับปะรดโรงงาน,ประเทศ,,1.84,1840.0,พืชไร่,สับปะรดโรงงาน
1989-08-31,มะพร้าว,ประเทศ,222.0,1.776,1776.0,พืชยืนต้น,มะพร้าว
1989-08-31,ยางพารา,ประเทศ,,17.19,17190.0,พืชยืนต้น,ยางพารา
1989-08-31,กระเทียม,ประเทศ,,5.94,5940.0,พืชผัก,กระเทียม
1989-08-31,หอมแดง,ประเทศ,,11.4,11400.0,พืชผัก,หอมแดง
1989-08-31,สุกร,ประเทศ,,29.33,29330.0,ปศุสัตว์,สุกร
1989-08-31,ไก่เนื้อ,ประเทศ,,22.19,22190.0,ปศุสัตว์,ไก่เนื้อ
1989-08-31,ไข่ไก่,ประเทศ,137.0,1.096,1096.0,ปศุสัตว์,ไข่ไก่
1989-08-31,ข้าวนาปรัง,ประเทศ,,4.265,4265.0,พืชไร่,ข้าว
1989-08-31,ทุเรียน,ประเทศ,,28.3,28300.0,ไม้ผล,ทุเรียน
1989-08-31,เงาะ,ประเทศ,,4.2,4200.0,ไม้ผล,เงาะ
1989-08-31,ลองกอง,ประเทศ,,45.0,45000.0,ไม้ผล,ลองกอง
1989-09-30,ข้าวหอมมะลิ,ประเทศ,,5.322,5322.0,พืชไร่,ข้าว
1989-09-30,ข้าวเจ้าอื่น,ประเทศ,,4.963,4963.0,พืชไร่,ข้าว
1989-09-30,ข้าวเหนียว,ประเทศ,,3.652,3652.0,พืชไร่,ข้าว
1989-09-30,ข้าวนาปี,ประเทศ,,4.467,4467.0,พืชไร่,ข้าว
1989-09-30,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.82,2820.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-09-30,มันสำปะหลัง,ประเทศ,,0.5,500.0,พืชไร่,มันสำปะหลัง
1989-09-30,สับปะรดโรงงาน,ประเทศ,,1.87,1870.0,พืชไร่,สับปะรดโรงงาน
1989-09-30,มะพร้าว,ประเทศ,207.0,1.656,1656.0,พืชยืนต้น,มะพร้าว
