date,commod_sub,place,priceF_w_baht_100p,priceF_w_baht_kg,priceF_w_baht_ton,commod_gr,commod
2018-03-09,ปาล์มน้ำมัน,ประเทศ,,3.05,3050.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-03-09,มะพร้าว,ประเทศ,1397.7,11.1816,11181.6,พืชยืนต้น,มะพร้าว
2018-03-09,ยางพารา,ประเทศ,,44.52,44520.0,พืชยืนต้น,ยางพารา
2018-03-09,กาแฟ,ประเทศ,,68.0,68000.0,พืชยืนต้น,กาแฟ
2018-03-09,ลำไย,ประเทศ,,24.5,24500.0,ไม้ผล,ลำไย
2018-03-09,หอมแดง,ประเทศ,,12.0,12000.0,พืชผัก,หอมแดง
2018-03-09,สุกร,ประเทศ,,45.52,45520.0,ปศุสัตว์,สุกร
2018-03-09,ไก่เนื้อ,ประเทศ,,33.54,33540.0,ปศุสัตว์,ไก่เนื้อ
2018-03-09,ไข่ไก่,ประเทศ,256.46,2.0516799999999997,2051.68,ปศุสัตว์,ไข่ไก่
2018-03-09,กุ้ง,ประเทศ,,190.28,190280.0,ประมง,กุ้ง
2018-03-09,กระเทียม,ประเทศ,,96.31,96310.0,พืชผัก,กระเทียม
2018-03-16,ข้าวหอมมะลิ,ประเทศ,,15.16826,15168.26,พืชไร่,ข้าว
2018-03-16,ข้าวปทุมธานี,ประเทศ,,12.15135,12151.35,พืชไร่,ข้าว
2018-03-16,ข้าวเจ้าอื่น,ประเทศ,,7.614979999999999,7614.98,พืชไร่,ข้าว
2018-03-16,ข้าวเหนียว,ประเทศ,,9.57006,9570.06,พืชไร่,ข้าว
2018-03-16,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.27,8270.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-03-16,มันสำปะหลัง,ประเทศ,,2.4,2400.0,พืชไร่,มันสำปะหลัง
2018-03-16,สับปะรดโรงงาน,ประเทศ,,3.75,3750.0,พืชไร่,สับปะรดโรงงาน
2018-03-16,ปาล์มน้ำมัน,ประเทศ,,2.69,2690.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-03-16,มะพร้าว,ประเทศ,1352.44,10.81952,10819.52,พืชยืนต้น,มะพร้าว
2018-03-16,ยางพารา,ประเทศ,,44.5,44500.0,พืชยืนต้น,ยางพารา
2018-03-16,กาแฟ,ประเทศ,,68.0,68000.0,พืชยืนต้น,กาแฟ
2018-03-16,ลำไย,ประเทศ,,26.17,26170.0,ไม้ผล,ลำไย
2018-03-16,สุกร,ประเทศ,,45.64,45640.0,ปศุสัตว์,สุกร
2018-03-16,ไก่เนื้อ,ประเทศ,,33.51,33510.0,ปศุสัตว์,ไก่เนื้อ
2018-03-16,ไข่ไก่,ประเทศ,257.07,2.05656,2056.56,ปศุสัตว์,ไข่ไก่
2018-03-16,กุ้ง,ประเทศ,,188.52,188520.0,ประมง,กุ้ง
2018-03-23,ข้าวหอมมะลิ,ประเทศ,,15.10884,15108.84,พืชไร่,ข้าว
2018-03-23,ข้าวปทุมธานี,ประเทศ,,11.74415,11744.15,พืชไร่,ข้าว
2018-03-23,ข้าวเจ้าอื่น,ประเทศ,,7.67911,7679.11,พืชไร่,ข้าว
2018-03-23,ข้าวเหนียว,ประเทศ,,9.46806,9468.06,พืชไร่,ข้าว
2018-03-23,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.35,8350.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-03-23,มันสำปะหลัง,ประเทศ,,2.42,2420.0,พืชไร่,มันสำปะหลัง
2018-03-23,สับปะรดโรงงาน,ประเทศ,,3.5,3500.0,พืชไร่,สับปะรดโรงงาน
2018-03-23,ปาล์มน้ำมัน,ประเทศ,,2.72,2720.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-03-23,มะพร้าว,ประเทศ,1327.24,10.61792,10617.92,พืชยืนต้น,มะพร้าว
2018-03-23,ยางพารา,ประเทศ,,43.78,43780.0,พืชยืนต้น,ยางพารา
2018-03-23,กาแฟ,ประเทศ,,68.0,68000.0,พืชยืนต้น,กาแฟ
2018-03-23,ลำไย,ประเทศ,,26.17,26170.0,ไม้ผล,ลำไย
2018-03-23,สุกร,ประเทศ,,47.1,47100.0,ปศุสัตว์,สุกร
2018-03-23,ไก่เนื้อ,ประเทศ,,34.02,34020.0,ปศุสัตว์,ไก่เนื้อ
2018-03-23,ไข่ไก่,ประเทศ,253.94,2.03152,2031.52,ปศุสัตว์,ไข่ไก่
2018-03-23,กุ้ง,ประเทศ,,174.32,174320.0,ประมง,กุ้ง
2018-03-30,ข้าวหอมมะลิ,ประเทศ,,15.196629999999999,15196.63,พืชไร่,ข้าว
2018-03-30,ข้าวปทุมธานี,ประเทศ,,11.697389999999999,11697.39,พืชไร่,ข้าว
2018-03-30,ข้าวเจ้าอื่น,ประเทศ,,7.72363,7723.63,พืชไร่,ข้าว
2018-03-30,ข้าวเหนียว,ประเทศ,,9.28345,9283.45,พืชไร่,ข้าว
2018-03-30,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.36,8360.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-03-30,มันสำปะหลัง,ประเทศ,,2.45,2450.0,พืชไร่,มันสำปะหลัง
2018-03-30,สับปะรดโรงงาน,ประเทศ,,3.28,3280.0,พืชไร่,สับปะรดโรงงาน
2018-03-30,ปาล์มน้ำมัน,ประเทศ,,2.76,2760.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-03-30,มะพร้าว,ประเทศ,1242.96,9.94368,9943.68,พืชยืนต้น,มะพร้าว
2018-03-30,ยางพารา,ประเทศ,,42.57,42570.0,พืชยืนต้น,ยางพารา
2018-03-30,กาแฟ,ประเทศ,,68.0,68000.0,พืชยืนต้น,กาแฟ
2018-03-30,ลำไย,ประเทศ,,26.17,26170.0,ไม้ผล,ลำไย
2018-03-30,สุกร,ประเทศ,,48.75,48750.0,ปศุสัตว์,สุกร
2018-03-30,ไก่เนื้อ,ประเทศ,,34.05,34050.0,ปศุสัตว์,ไก่เนื้อ
2018-03-30,ไข่ไก่,ประเทศ,252.17,2.01736,2017.3600000000001,ปศุสัตว์,ไข่ไก่
2018-03-30,กุ้ง,ประเทศ,,174.5,174500.0,ประมง,กุ้ง
2018-03-30,ทุเรียน,ประเทศ,,120.0,120000.0,ไม้ผล,ทุเรียน
2018-03-30,มังคุด,ประเทศ,,143.09,143090.0,ไม้ผล,มังคุด
2018-04-06,ข้าวหอมมะลิ,ประเทศ,,15.15547,15155.47,พืชไร่,ข้าว
2018-04-06,ข้าวปทุมธานี,ประเทศ,,11.746379999999998,11746.38,พืชไร่,ข้าว
2018-04-06,ข้าวเจ้าอื่น,ประเทศ,,7.737010000000001,7737.01,พืชไร่,ข้าว
2018-04-06,ข้าวเหนียว,ประเทศ,,9.20271,9202.71,พืชไร่,ข้าว
2018-04-06,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.3,8300.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-04-06,มันสำปะหลัง,ประเทศ,,2.49,2490.0,พืชไร่,มันสำปะหลัง
2018-04-06,สับปะรดโรงงาน,ประเทศ,,3.22,3220.0,พืชไร่,สับปะรดโรงงาน
2018-04-06,ปาล์มน้ำมัน,ประเทศ,,2.74,2740.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-04-06,มะพร้าว,ประเทศ,1199.2,9.5936,9593.6,พืชยืนต้น,มะพร้าว
2018-04-06,ยางพารา,ประเทศ,,42.57,42570.0,พืชยืนต้น,ยางพารา
2018-04-06,ลำไย,ประเทศ,,26.17,26170.0,ไม้ผล,ลำไย
2018-04-06,สุกร,ประเทศ,,50.38,50380.0,ปศุสัตว์,สุกร
2018-04-06,ไก่เนื้อ,ประเทศ,,38.2,38200.0,ปศุสัตว์,ไก่เนื้อ
2018-04-06,ไข่ไก่,ประเทศ,251.46,2.01168,2011.68,ปศุสัตว์,ไข่ไก่
2018-04-06,กุ้ง,ประเทศ,,153.92,153920.0,ประมง,กุ้ง
2018-04-06,ทุเรียน,ประเทศ,,100.0,100000.0,ไม้ผล,ทุเรียน
2018-04-06,มังคุด,ประเทศ,,118.29,118290.0,ไม้ผล,มังคุด
2018-04-20,ข้าวหอมมะลิ,ประเทศ,,15.22926,15229.26,พืชไร่,ข้าว
2018-04-20,ข้าวปทุมธานี,ประเทศ,,12.058729999999999,12058.73,พืชไร่,ข้าว
2018-04-20,ข้าวเจ้าอื่น,ประเทศ,,7.839270000000001,7839.27,พืชไร่,ข้าว
2018-04-20,ข้าวเหนียว,ประเทศ,,9.17595,9175.95,พืชไร่,ข้าว
2018-04-20,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.72,8720.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-04-20,มันสำปะหลัง,ประเทศ,,2.52,2520.0,พืชไร่,มันสำปะหลัง
2018-04-20,สับปะรดโรงงาน,ประเทศ,,2.95,2950.0,พืชไร่,สับปะรดโรงงาน
2018-04-20,ปาล์มน้ำมัน,ประเทศ,,2.83,2830.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-04-20,มะพร้าว,ประเทศ,1165.69,9.325520000000001,9325.52,พืชยืนต้น,มะพร้าว
2018-04-20,ยางพารา,ประเทศ,,43.16,43160.0,พืชยืนต้น,ยางพารา
2018-04-20,ลำไย,ประเทศ,,26.05,26050.0,ไม้ผล,ลำไย
2018-04-20,สุกร,ประเทศ,,55.8,55800.0,ปศุสัตว์,สุกร
2018-04-20,ไก่เนื้อ,ประเทศ,,38.2,38200.0,ปศุสัตว์,ไก่เนื้อ
2018-04-20,ไข่ไก่,ประเทศ,266.73,2.13384,2133.84,ปศุสัตว์,ไข่ไก่
2018-04-20,กุ้ง,ประเทศ,,143.44,143440.0,ประมง,กุ้ง
2018-04-20,ทุเรียน,ประเทศ,,60.0,60000.0,ไม้ผล,ทุเรียน
2018-04-20,มังคุด,ประเทศ,,99.35,99350.0,ไม้ผล,มังคุด
2018-04-20,เงาะ,ประเทศ,,36.65,36650.0,ไม้ผล,เงาะ
2018-04-27,ข้าวหอมมะลิ,ประเทศ,,15.322,15322.0,พืชไร่,ข้าว
2018-04-27,ข้าวปทุมธานี,ประเทศ,,12.00153,12001.53,พืชไร่,ข้าว
